V1	V2	V3
chr18	79546316	79546566
chr9	49983131	49983395
chr3	8861058	8861322
chr6	89237276	89237540
chr17	34702061	34702325
chr8	13690285	13690535
chr2	158245727	158245991
chr11	61066707	61066957
chr8	72680178	72680428
chr2	181128074	181128338
chr19	5475059	5475312
chr17	36897847	36898111
chr19	6418633	6418883
chr10	84911754	84911825
chr13	97461443	97461693
chr4	130143431	130143681
chr18	83390538	83390694
chr2	32192584	32192848
chr7	29509937	29510067
chr18	65255974	65256238
chr4	151278658	151278908
chr7	135579788	135580052
chr10	117908824	117909076
chr8	22469729	22469979
chr8	70414795	70415045
chr12	108070726	108070976
chr11	53500484	53500732
chr19	57144640	57144904
chr2	127533313	127533563
chr7	122340413	122340677
chr16	35601957	35602217
chr18	78400187	78400451
chr18	61354109	61354359
chr9	92733750	92734000
chr2	131994131	131994395
chr4	133071887	133072144
chr2	167777163	167777413
chr4	106530851	106531112
chr13	55379715	55379933
chr2	129229839	129230089
chr1	189513358	189513608
chr12	28614716	28614966
chr15	89061286	89061536
chr7	56763678	56763942
chr17	70473503	70473767
chr3	79064208	79064472
chr7	78688966	78689216
chr12	112432947	112433211
chr12	74186672	74186922
chr2	29241624	29241888
chr11	79085255	79085514
chr2	29523061	29523325
chr17	46549370	46549634
chr13	48730345	48730595
chr1	121433652	121433902
chr2	149842349	149842613
chr5	47983972	47984236
chr12	102306182	102306446
chr5	108324128	108324378
chr3	85189118	85189368
chr6	50526606	50526870
chr8	13030676	13030926
chr19	37020733	37020997
chr19	7414501	7414758
chr3	10008882	10009132
chr2	164539941	164540205
chr7	63899520	63899784
chr9	7954154	7954404
chr19	7312509	7312773
chr11	114293395	114293645
chr8	84182866	84183116
chr5	123169583	123169833
chr6	54487764	54488028
chr14	48474485	48474737
chr9	96692737	96693001
chr17	72819981	72820231
chr7	30326878	30327128
chr9	43309958	43310208
chr9	21747420	21747684
chr3	152595055	152595260
chr9	44726510	44726774
chr19	28911043	28911307
chr11	107575215	107575479
chr15	84998778	84999028
chr14	61093210	61093467
chr17	45542091	45542341
chr12	104921592	104921856
chr2	117429819	117430077
chr8	46931970	46932220
chr6	30456692	30456956
chr4	120704415	120704677
chr12	17050462	17050726
chr11	116963040	116963291
chr18	61788879	61789129
chr9	111437616	111437866
chr10	92609114	92609378
chr2	173176527	173176777
chr16	27526064	27526282
chr13	51571698	51571962
chr9	64498764	64499028
chr10	77593802	77594066
chr11	35872135	35872385
chr11	74872450	74872702
chr3	104335007	104335271
chr10	58803142	58803392
chr4	9645672	9645936
chr2	116011450	116011700
chr18	75197251	75197501
chr11	68558263	68558522
chr6	127334811	127335070
chr4	117987615	117987879
chr11	101990213	101990472
chr14	12294231	12294481
chr12	108905352	108905603
chr1	23932928	23933178
chr11	60984413	60984663
chr10	60282275	60282483
chr6	126806296	126806558
chr8	93926057	93926321
chr1	91177639	91177889
chr18	4016690	4017129
chr18	35841565	35841815
chr8	13935871	13936135
chr18	66797979	66798229
chr5	71915035	71915299
chr10	111016869	111017119
chr15	86092501	86092765
chr15	73916997	73917247
chr8	8140922	8141177
chr13	104965139	104965399
chr1	72555255	72555376
chr17	73254176	73254426
chr5	103595048	103595285
chr18	60822189	60822453
chr4	138413828	138414086
chr11	78762095	78762359
chr2	90636748	90637012
chr4	103632526	103632783
chr11	110332574	110332824
chr2	136800895	136801159
chr7	113244947	113245207
chr9	122412778	122413041
chr13	94508759	94509009
chr12	99415687	99415937
chr8	86409034	86409288
chr6	83440928	83441184
chr5	123234269	123234533
chr16	5168156	5168307
chr5	31588872	31589122
chr11	32038156	32038406
chr6	29103815	29104065
chr8	105574135	105574399
chr13	45612509	45612773
chr16	84772017	84772281
chr4	138716416	138716666
chr2	35560210	35560474
chr7	134465007	134465257
chr19	5758846	5759075
chr2	180906766	180907030
chr2	91088002	91088266
chr6	146126843	146127107
chr13	60082752	60083016
chr5	142757532	142757796
chr11	3335447	3335697
chr6	28723707	28723971
chr4	57649979	57650242
chr16	38707860	38708110
chr7	100928751	100929001
chr4	52861989	52862239
chr11	66996950	66997108
chr7	28012598	28012848
chr11	63840213	63840476
chr10	127185425	127185675
chr7	64548974	64549417
chr6	121043596	121043860
chr12	107893793	107894055
chr7	111592096	111592346
chr1	182348827	182349091
chr9	103694791	103695045
chr11	4681832	4682096
chr10	59848855	59849105
chr12	102141983	102142141
chr2	11421263	11421513
chr4	137299931	137300195
chr2	163659194	163659458
chr17	35551817	35552081
chr12	86966407	86966671
chr4	106452411	106452661
chr8	34497028	34497278
chr15	92491789	92492053
chr3	31310260	31310510
chr8	17017818	17018068
chr16	5163854	5164005
chr5	149017071	149017335
chr3	85190719	85190874
chr2	170783400	170783664
chr7	105517134	105517398
chr8	121773534	121773798
chr13	54562930	54563097
chr16	34565932	34566182
chr10	41242862	41243116
chr4	52866489	52866739
chr8	12789348	12789612
chr14	86751088	86751352
chr18	60630754	60630863
chr7	17037170	17037434
chr17	34129826	34130078
chr8	70819842	70820106
chr6	94586595	94586845
chr9	30140842	30141092
chr11	62320043	62320293
chr8	111078206	111078456
chr11	35876635	35876885
chr8	4204253	4204517
chr12	28124039	28124289
chr4	136753463	136753713
chr15	99608846	99609096
chr7	5087755	5088019
chr5	35839368	35839618
chr15	99658390	99658654
chr2	17384605	17384869
chr4	40918423	40918673
chr6	138554021	138554285
chr11	79118926	79119190
chr16	17556440	17556690
chr16	17551940	17552190
chr5	115494837	115495100
chr16	37620120	37620370
chr5	123258548	123258812
chr11	36693244	36693508
chr7	3409822	3410086
chr1	15941532	15941782
chr15	84296811	84297061
chr13	57785303	57785553
chr2	130654380	130654630
chr18	25737234	25737484
chr14	26556316	26556580
chr3	101403342	101403592
chr19	46838874	46839138
chr2	156617621	156617876
chr10	22708250	22708500
chr12	99008927	99009177
chr8	78357106	78357370
chr17	12218593	12218857
chr5	118354498	118354748
chr9	86222016	86222280
chr2	91198903	91199162
chr17	34190633	34190883
chr2	172390089	172390353
chr4	137694503	137694767
chr5	112538326	112538589
chr4	138970476	138970734
chr5	132251872	132252122
chr9	66718852	66719102
chr5	144547979	144548140
chr7	123292235	123292499
chr11	75198916	75199075
chr18	60617394	60617644
chr12	85612613	85612863
chr15	68487124	68487388
chr6	54483236	54483500
chr9	113580576	113580826
chr11	74573752	74574008
chr4	154027227	154027477
chr19	6372442	6372705
chr13	95890194	95890453
chr12	28889173	28889437
chr15	84081098	84081355
chr10	90672337	90672517
chr5	148747780	148748038
chr16	58677580	58677844
chr9	77851665	77851915
chr3	95502366	95502621
chr19	48261414	48261678
chr10	121747977	121748238
chr17	30969674	30969938
chr2	130658880	130659130
chr9	48220326	48220577
chr1	179589425	179589689
chr4	152090852	152091062
chr8	116956774	116957030
chr16	94813676	94813927
chr11	96999752	97000016
chr7	144841721	144841985
chr10	80158760	80159015
chr7	84172788	84173052
chr6	96119220	96119484
chr7	47021977	47022231
chr2	62091105	62091369
chr7	67719273	67719523
chr4	100594966	100595230
chr15	86311784	86312034
chr13	42600109	42600373
chr4	129976752	129977002
chr11	80617732	80617996
chr12	11148855	11149119
chr1	63462272	63462536
chr3	98416957	98417221
chr1	93345001	93345265
chr2	162771035	162771299
chr12	116047108	116047361
chr4	127209068	127209332
chr17	44612055	44612305
chr10	76305449	76305699
chr6	124427704	124427954
chr13	41822225	41822475
chr17	86390308	86390572
chr10	78002416	78002680
chr2	137614448	137614709
chr16	8995858	8996122
chr18	60623262	60623526
chr12	73796488	73796747
chr17	86394836	86395100
chr12	26557397	26557647
chr7	45830344	45830604
chr4	33896183	33896390
chr7	19643549	19643813
chr17	47201560	47201810
chr15	73988773	73989024
chr1	177470869	177471133
chr11	119792499	119792749
chr19	55990213	55990477
chr9	46786279	46786529
chr8	104538271	104538521
chr2	70711345	70711609
chr7	28906180	28906430
chr4	133248440	133248690
chr4	136747840	136748104
chr16	42618267	42618517
chr14	54089051	54089301
chr11	74436978	74437228
chrX	11916590	11916840
chr10	58795490	58795754
chr7	84177316	84177580
chr6	108072344	108072594
chr11	24122922	24123185
chr4	127180960	127181210
chr17	73192373	73192631
chr11	119512809	119513073
chr7	132591561	132591825
chr13	46631524	46631774
chr4	131205945	131206196
chr6	42387969	42388233
chr2	156676618	156676868
chr13	48697551	48697815
chr16	28447562	28447812
chr2	153153401	153153665
chr9	63879103	63879355
chr1	153285906	153286156
chr5	113020537	113020801
chr9	122597580	122597844
chr10	76271722	76271986
chr11	77862603	77862867
chr2	85062926	85063190
chr10	60170889	60171139
chr2	154710131	154710381
chr4	136784814	136785078
chr10	14214251	14214501
chr2	79457879	79458143
chr4	40922923	40923173
chr19	47226441	47226700
chr11	26606573	26606823
chr3	107157822	107158086
chr2	33595366	33595616
chr9	66594862	66595126
chr6	31967542	31967792
chr5	142476034	142476298
chr19	8909644	8909894
chr1	62910897	62911153
chr2	173302954	173303092
chr9	45434942	45435192
chr5	31599050	31599303
chr6	98729672	98729936
chr7	118995345	118995595
chr5	36083446	36083696
chr17	5759230	5759459
chr4	138907047	138907311
chr9	121077642	121077892
chr5	120021779	120022043
chr6	107913722	107913972
chr10	22597016	22597266
chr16	90084067	90084317
chr14	74885518	74885782
chr4	107424460	107424710
chr9	56684208	56684458
chr15	53750644	53750894
chr11	104131375	104131625
chr12	88740969	88741219
chr3	90454097	90454361
chr15	77982192	77982442
chr14	23749059	23749309
chr12	24925833	24926091
chr18	61326482	61326732
chr9	46217963	46218213
chr5	53141891	53142155
chr18	35385780	35386030
chr7	92213035	92213299
chr7	112121217	112121467
chr5	144552301	144552462
chr6	121465253	121465481
chr4	27843350	27843600
chr8	107112494	107112744
chr7	126174022	126174227
chr6	88967265	88967517
chr7	49520500	49520750
chr7	121504004	121504211
chr9	62489433	62489697
chr1	7111111	7111361
chr5	112783894	112784144
chr9	43591001	43591265
chr6	118843645	118843895
chr4	152095100	152095356
chr13	36732606	36732870
chr10	119811901	119812165
chr5	138713511	138713761
chr8	79532287	79532455
chr9	119981213	119981477
chr16	42454731	42454981
chr2	91387469	91387719
chr7	63665809	63666059
chr11	120520374	120520624
chr11	79069924	79070188
chr18	77302708	77302958
chr9	63248882	63249132
chr17	64043197	64043447
chr14	30459794	30460044
chr5	144687597	144687861
chr4	111496629	111496879
chr4	152280607	152280857
chr4	13707407	13707657
chr8	15944877	15945127
chr18	58429965	58430215
chr8	122358361	122358625
chr11	53844642	53844904
chr15	59521536	59521786
chr4	138486728	138486978
chr18	80820371	80820621
chr5	34295838	34296095
chr15	86013968	86014218
chr15	78990900	78991164
chr11	104565520	104565784
chr2	92603631	92603895
chr13	99364281	99364545
chr15	38408504	38408768
chr14	9069007	9069271
chr5	122511595	122511848
chr10	24781081	24781331
chr18	5139220	5139484
chr6	99076885	99077149
chr8	117261672	117261936
chr11	111106747	111106997
chr3	138858896	138859129
chr16	4475000	4475256
chr8	84569985	84570235
chr8	123119936	123120200
chr16	24284721	24284971
chr8	84205858	84206001
chr13	56115310	56115574
chr3	101045949	101046092
chr5	147383815	147384065
chr8	69180103	69180298
chr1	127441983	127442233
chr4	47228360	47228610
chr9	58200628	58200889
chr11	32033656	32033906
chr15	4141882	4142142
chr19	24679470	24679720
chr3	108325050	108325310
chr13	15779942	15780206
chr7	114084037	114084287
chr4	110786391	110786655
chr7	19428703	19428953
chr16	94252963	94253227
chr5	149413788	149414038
chr14	120286166	120286416
chr8	117446376	117446640
chr8	33623808	33624061
chr5	124289971	124290235
chr9	83593954	83594209
chr10	86797179	86797443
chr5	110560542	110560792
chr1	133888815	133889065
chr3	85027479	85027618
chr8	61469055	61469308
chr4	120862175	120862425
chr4	46772932	46773196
chr9	40453144	40453403
chr3	104429031	104429295
chr10	78387866	78388116
chr17	36902375	36902639
chr2	15163644	15163894
chr6	108815358	108815622
chr14	70583752	70583862
chr6	124326234	124326484
chr1	191095893	191096154
chr17	72815481	72815731
chr10	41986603	41986867
chr17	12851603	12851853
chr4	150938061	150938311
chr14	70569909	70570159
chr14	60408065	60408315
chr18	61838285	61838549
chr7	63670309	63670559
chr8	95675352	95675576
chr4	49524867	49525117
chr8	66783756	66784006
chr1	72508510	72508774
chr7	145194853	145195103
chr18	83394850	83395006
chr18	36414003	36414253
chr14	16095040	16095299
chr17	26029910	26030160
chr1	107647438	107647693
chr1	92678397	92678661
chr6	5994172	5994422
chr4	152961878	152962142
chr15	102141109	102141359
chr5	151062129	151062385
chr7	112297450	112297714
chr4	127128174	127128424
chr14	79180075	79180339
chr11	111103017	111103267
chr1	40949579	40949843
chr9	120398925	120399189
chr7	122418390	122418654
chr15	100827593	100827843
chr9	49987741	49987991
chr4	137695248	137695512
chr16	11067530	11067794
chr10	108641715	108641979
chr8	105618273	105618537
chr1	192828106	192828370
chr7	144837193	144837457
chr1	179593953	179594217
chr1	34814570	34814734
chr12	86988996	86989246
chr2	30723562	30723826
chr6	72102526	72102789
chr16	25037828	25038078
chr1	167116806	167117061
chr1	84883791	84884041
chr15	79758502	79758634
chr7	113142419	113142669
chr8	90866129	90866379
chr15	79929983	79930156
chr2	165838622	165838886
chr3	106129493	106129743
chr10	43006593	43006843
chr3	25210269	25210519
chr8	124101510	124101770
chr15	74556711	74556961
chr19	53755731	53755981
chr12	81888336	81888587
chr10	24776581	24776831
chr14	55064969	55065233
chr18	46816121	46816385
chr12	72834218	72834468
chr9	112100240	112100490
chr8	126329093	126329357
chr19	46316603	46316867
chr5	146630138	146630388
chr6	40349781	40350031
chr10	20283423	20283687
chr1	119386551	119386801
chr5	127988684	127988948
chr14	62391784	62392048
chr5	65671062	65671326
chr2	29255717	29255967
chr10	121752499	121752760
chr15	37563625	37563881
chr4	129813170	129813434
chr4	4022123	4022373
chr6	88156508	88156772
chr6	117902870	117903134
chr6	128288073	128288323
chr4	13584552	13584802
chr16	35604895	35605159
chr1	20904086	20904336
chr3	137209536	137209786
chr12	40234045	40234309
chr3	26921216	26921480
chr10	86489538	86489788
chr17	28768115	28768365
chr1	125460839	125461089
chr6	83358215	83358465
chr15	64667056	64667243
chr16	9766277	9766539
chr12	117355610	117355860
chr2	168383165	168383429
chr10	10548990	10549240
chr4	137295403	137295667
chr17	55973658	55973908
chr15	79737653	79737771
chr17	73248991	73249251
chr14	64397893	64398157
chr9	50373404	50373668
chr15	72409790	72410054
chr16	4470488	4470744
chr9	110379992	110380256
chr9	42649127	42649377
chr18	60613238	60613495
chr12	112119944	112120208
chr11	111525101	111525365
chr2	35555682	35555946
chr11	115539292	115539418
chr18	77282976	77283240
chr9	22063720	22063984
chr7	37589677	37589927
chr7	45235985	45236249
chr9	121412170	121412422
chr8	67864127	67864391
chr10	94521139	94521389
chr10	4332079	4332341
chr10	111255184	111255448
chr1	177624176	177624440
chr2	107540992	107541242
chr7	122413862	122414126
chr18	57203015	57203279
chr2	64109026	64109290
chr5	135033388	135033652
chr2	157455368	157455632
chr9	40524493	40524743
chr5	113347010	113347262
chr4	127638604	127638854
chr10	76267194	76267458
chr3	79742887	79743137
chr17	44683395	44683645
